SITE,UNIT,DATA_DATE,LANGUAGE,WORKER___1,WORKER___2,WORKER___3,PROVIDER_HANDS_BEF,PROVIDER_HANDS_AFT,NURSE_HANDS_BEF,NURSE_HANDS_AFT,MT_HANDS_BEF,MT_HANDS_AFT
MSW,Ansonia Internal Medicine,8/26/2021,1,0,0,1,,,,,1,1
MSW,Ansonia Internal Medicine,9/7/2021,1,1,0,0,1,2,,,,
MSW,Ansonia Internal Medicine,9/7/2021,1,1,0,1,2,2,,,2,
MSW,Ansonia Internal Medicine,9/8/2021,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,9/9/2021,1,1,0,0,1,1,,,,
MSW,Ansonia Internal Medicine,9/14/2021,1,1,0,0,1,2,,,,
MSW,Ansonia Internal Medicine,9/21/2021,1,0,1,0,,,1,1,,
MSW,425 ENT,9/21/2021,1,0,1,0,,,1,1,,
MSW,Ansonia Internal Medicine,3/25/2022,1,1,0,1,1,2,,,1,1
MSW,Ansonia Internal Medicine,3/29/2022,1,1,1,0,1,1,1,1,,
MSW,Ansonia Internal Medicine,4/12/2022,1,1,0,1,1,1,,,1,1
MSW,425 Urology,4/5/2022,1,1,1,1,1,2,1,1,1,1
MSW,425 Urology,4/8/2022,1,1,1,1,2,2,1,1,1,1
MSW,425 Urology,4/8/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 Urology,4/8/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 Urology,4/8/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 Urology,4/8/2022,1,1,0,1,1,1,,,1,1
MSW,425 Urology,4/8/2022,1,1,0,1,1,1,,,1,1
MSW,425 Urology,4/19/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 Urology,4/19/2022,1,1,1,0,2,1,1,1,,
MSW,425 Urology,4/19/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 Urology,4/25/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 Urology,4/25/2022,1,1,1,1,2,2,2,2,2,2
MSW,425 ENT,5/2/2022,1,1,0,1,1,1,,,1,2
MSW,425 ENT,5/4/2022,1,1,0,0,1,1,,,,
MSW,425 ENT,5/6/2022,1,1,0,1,1,1,,,2,2
MSW,Ansonia Internal Medicine,5/13/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/13/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/13/2022,1,1,0,0,1,1,,,,
MSW,Ansonia Internal Medicine,5/13/2022,1,1,1,0,1,1,1,1,,
MSW,Ansonia Internal Medicine,5/13/2022,1,0,0,1,,,,,1,1
MSW,425 ENT,5/13/2022,1,1,0,0,1,1,,,,
MSW,Ansonia Internal Medicine,5/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/13/2022,1,1,0,0,1,1,,,,
MSW,Ansonia Internal Medicine,5/13/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/16/2022,1,1,0,0,1,2,,,,
MSW,Ansonia Internal Medicine,5/16/2022,1,1,1,0,1,1,1,1,,
MSW,Ansonia Internal Medicine,5/16/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/16/2022,1,1,0,0,1,1,,,,
MSW,Ansonia Internal Medicine,5/16/2022,1,1,0,0,1,1,,,,
MSW,Ansonia Internal Medicine,5/17/2022,1,1,1,0,1,1,1,1,,
MSW,Ansonia Internal Medicine,5/17/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/17/2022,1,0,0,1,,,,,1,1
MSW,Ansonia Internal Medicine,5/17/2022,1,0,0,1,,,,,1,2
MSW,Ansonia Internal Medicine,5/17/2022,1,1,1,0,1,1,1,1,,
MSW,Ansonia Internal Medicine,5/17/2022,2,0,0,1,,,,,1,1
MSW,Ansonia Internal Medicine,5/17/2022,2,0,0,1,,,,,1,1
MSW,Ansonia Internal Medicine,5/16/2022,1,0,0,1,,,,,1,1
MSW,Ansonia Internal Medicine,5/17/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/17/2022,1,0,0,1,,,,,1,2
MSW,Ansonia Internal Medicine,5/17/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/17/2022,2,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/17/2022,1,0,0,1,,,,,1,2
MSW,Ansonia Internal Medicine,5/17/2022,2,1,1,1,1,2,2,2,1,2
MSW,Ansonia Internal Medicine,5/17/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/17/2022,1,1,0,1,1,2,,,1,2
MSW,Ansonia Internal Medicine,5/17/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/17/2022,1,1,0,1,1,2,,,1,2
MSW,Ansonia Internal Medicine,5/16/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/16/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/16/2022,1,0,0,1,,,,,1,
MSW,Ansonia Internal Medicine,5/16/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/16/2022,1,1,1,1,1,1,1,1,1,1
MSW,425 ENT,5/16/2022,1,1,0,0,1,2,,,,
MSW,425 ENT,5/19/2022,1,1,0,1,2,1,,,1,2
MSW,425 ENT,5/17/2022,1,1,0,0,1,1,,,,
MSW,425 ENT,5/18/2022,2,1,0,0,1,1,,,,
MSW,425 ENT,5/13/2022,2,1,0,0,1,2,,,,
MSW,425 ENT,5/12/2022,1,1,0,0,0,0,,,,
MSW,425 ENT,5/17/2022,1,1,0,0,1,1,,,,
MSW,425 ENT,5/18/2022,1,1,0,0,1,2,,,,
MSW,425 ENT,5/16/2022,1,0,0,1,,,,,1,1
MSW,425 ENT,5/18/2022,1,1,0,0,1,1,,,,
MSW,425 ENT,5/18/2022,1,1,0,0,1,1,,,,
MSW,425 ENT,5/13/2022,2,1,0,0,1,1,,,,
MSW,Ansonia Internal Medicine,5/19/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,0,0,1,,,,,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/18/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/17/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/16/2022,2,1,0,1,1,2,,,1,2
MSW,Ansonia Internal Medicine,5/16/2022,1,1,0,1,1,2,,,2,2
MSW,Ansonia Internal Medicine,5/16/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,1,1,1,2,1,2,2,2,0
MSW,Ansonia Internal Medicine,5/23/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/20/2022,1,1,1,1,1,2,1,2,1,2
MSW,Ansonia Internal Medicine,5/20/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/20/2022,1,0,0,1,,,,,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/19/2022,2,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,0,0,1,,,,,1,1
MSW,Ansonia Internal Medicine,5/17/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/17/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/17/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/17/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/17/2022,1,1,0,1,1,2,,,1,1
MSW,Ansonia Internal Medicine,5/16/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/16/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/23/2022,1,0,0,1,,,,,1,1
MSW,Ansonia Internal Medicine,5/23/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/23/2022,1,0,0,1,,,,,1,1
MSW,Ansonia Internal Medicine,5/23/2022,1,1,0,1,1,2,,,1,1
MSW,Ansonia Internal Medicine,5/18/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/16/2022,1,1,1,1,1,,1,,1,
MSW,Ansonia Internal Medicine,5/25/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/24/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/25/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/26/2022,1,1,0,1,2,2,,,2,2
MSW,Ansonia Internal Medicine,5/16/2022,1,1,0,1,1,,,,1,
MSW,Ansonia Internal Medicine,5/16/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/23/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/16/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/16/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/23/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/23/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/6/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/6/2022,1,1,1,0,1,1,1,1,,
MSW,Ansonia Internal Medicine,6/3/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,6/2/2022,1,1,0,1,1,1,,,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,1,1,1,1,1,1,1,1,1
MSW,Ansonia Internal Medicine,5/19/2022,1,1,1,1,1,1,1,1,1,1
